0,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",3.15
0,"RIVER SAL AT KHAREBAND, MARGAO",3.15
0,"ACHENKOIL AT CHENNITHULA, KERALA",3.15
0,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",2.94375
0,"ACHENKOIL AT THUMPAMON, KERALA",3.5624999999999996
0,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",3.15
0,ULHAS RIVER ATJAMBHUL WATER WORKS.,2.94375
0,R PERIYAR AT PURAPPALLIKAVU,3.5624999999999996
0,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",3.3562499999999997
0,"R KUPPAM AT THALIPARAMBA, KERALA",3.15
0,"PAMBA AT THAKAZHY, KERALA",3.15
0,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",3.15
0,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",3.15
0,"MANDOVI AT TONCA, MARCELA, GOA",3.15
0,"D/S JHARMAL NADI, PUNJAB",3.15
0,"R NEYYAR AT AMARAVILA, KERALA",3.3562499999999997
0,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",3.15
0,"BUGI RIVER AT DALU, SOUTH GARO HILLS",3.15
0,"CHALIYAR AT CHUNGAPALLY, KERALA",3.3562499999999997
0,R CORAPUZHA AT KANAYANKODE,3.15
0,"RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS",3.15
0,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",3.15
0,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",3.15
0,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",3.15
0,"PAMBA DOWN, KERALA",2.7375000000000003
0,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,3.15
0,"MEENACHIL AT KIDANGOOR, KERALA",3.15
0,R PERUVAMBA AT CHANDAPPURA,3.15
0,"D/S SARDULGARH, PUNJAB",3.15
0,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),3.3562499999999997
0,"MANIMALA AT THONDRA, KERALA",3.15
0,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",3.15
0,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",3.15
0,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",3.76875
0,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",3.3562499999999997
0,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",3.15
0,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",3.15
0,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",3.15
0,"GANOL RIVER TURA, MEGHALAYA",3.15
0,"R KARINGODE AT KAKKADAVU,  KERALA",3.15
0,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",3.15
0,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",3.5624999999999996
0,RIVER CHAPORA AT SIOLIM,3.5624999999999996
0,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",3.15
0,"KARAMANA AT MOONNATTUMUKKU, KERALA",3.15
0,RIVER PERIYAR AT PATHALAM,3.15
0,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",3.5624999999999996
0,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",3.15
0,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",3.15
0,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",3.15
0,R NEYYAR AT ARUVIPURAM,2.94375
0,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",3.15
0,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",3.15
0,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",3.15
0,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,3.15
0,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",2.94375
