LOCATIONS,Temp,D.O. (mg/l),PH,CONDUCTIVITY (�mhos/cm),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,B.O.D. (mg/l)
"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",27.3,6.7,8,138,0.3,14,33,5
"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",27.8,6.7,7.8,81,0.3,14,35,4.9
"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",28,5.9,7.7,194,0.6,22,51,5.5
"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",28.1,6.3,7.6,186,0.6,13,31,4.6
ULHAS RIVER ATJAMBHUL WATER WORKS.,28.6,6.6,7.6,207,0.7,12,31,4.7
"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",26.9,6.8,7.7,85,0.4,15,34,5
"ACHENKOIL AT THUMPAMON, KERALA",25.1,6.7,7.5,85,1,183,420,1.4
"ACHENKOIL AT CHENNITHULA, KERALA",24.6,5.8,7.4,77,0.8,285,691,1.4
"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",25.7,6.6,7.5,75,0.7,183,448,1.4
"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",24.8,6.7,7.5,82,1,161,443,1.4
R ANCHARAKANDY AT MERUVAMBA,27.3,6.7,6.9,56,0.2,82,172,0.9
R ANCHARAKANDY AT MERUVAMBA,27.5,6.5,6.7,2240,0.2,136,304,1.2
R AYROOR AT AYROOR BRIDGE,25.2,6.3,6.9,73,0,787,2008,1.6
R BHARATHAPUZHA AT KUTTIPPURAM,29.9,7,7.4,130,0.1,301,590,0.7
R BHARATHAPUZHA AT PATTAMBI,29.8,6.6,7.7,191,0.2,362,661,1.6
"CHALAKUDY AT PULICKALKANANDAVU, KERALA",27.8,6.9,6.9,134,0.4,249,531,1.1
"CHALIYAR AT KOOLIMADU, KERALA",26.7,7,7.5,80,0.4,2573,3583,0.8
"CHALIYAR AT CHUNGAPALLY, KERALA",25.8,6.7,7.4,14526,0.6,1411,1969,0.8
"CHALIYAR AT NILAMBUR, MALAPPURAM",26.4,7.2,7.4,82,0.5,840,1311,0.7
